epoch,G_loss,D_loss,kimg_acu,kimg,run_id,,
7.180857349,0.714299886,1.379652328,288.0959969,48.0320015,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
7.280558247,0.713708006,1.378890868,292.0959969,52.0320015,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
7.380259144,0.715880616,1.378352597,296.0959969,56.0320015,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
7.479960041,0.713589079,1.379039543,300.0959969,60.0320015,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
7.579660844,0.713686337,1.379157662,304.095993,64.03199768,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
7.679361741,0.712139649,1.379412266,308.095993,68.03199768,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
7.779062638,0.709452148,1.379079442,312.095993,72.03199768,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
7.878763535,0.710855659,1.379213153,316.095993,76.03199768,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
7.978464433,0.710786882,1.379481713,320.095993,80.03199768,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.07816533,0.713266675,1.379362495,324.095993,84.03199768,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.177866227,0.712012942,1.378793335,328.095993,88.03199768,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.277567125,0.713267768,1.378344391,332.095993,92.03199768,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.377268022,0.709164098,1.379438479,336.095993,96.03199768,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.476968919,0.707444345,1.379760619,340.095993,100.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.576669817,0.715071982,1.37948365,344.095993,104.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.676370714,0.711536583,1.378727159,348.095993,108.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.776071611,0.716030168,1.37825601,352.095993,112.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.875772509,0.714504722,1.377507898,356.095993,116.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
8.975473406,0.712430143,1.376438488,360.095993,120.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.075174303,0.71162818,1.377833482,364.095993,124.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.1748752,0.710601516,1.378340814,368.095993,128.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.274576098,0.711532954,1.377200155,372.095993,132.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.374276995,0.710724024,1.378209377,376.095993,136.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.473977892,0.708268649,1.378941433,380.095993,140.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.57367879,0.708986607,1.379382271,384.095993,144.0319977,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.574476397,0.68206501,1.378015876,384.127993,0.032000002,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.674177296,0.713524224,1.376741283,388.1279931,4.032000065,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.773878181,0.713711289,1.376531206,392.1279926,8.031999588,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.873579079,0.720461112,1.373212557,396.1279926,12.03199959,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
9.973279976,0.713823542,1.375679851,400.1279926,16.03199959,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.07298087,0.710713881,1.376385962,404.1279926,20.03199959,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.17268177,0.713432314,1.375452151,408.1279926,24.03199959,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.27238267,0.714456594,1.377668501,412.1279926,28.03199959,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.37208361,0.710866543,1.37627422,416.1279945,32.0320015,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.47178451,0.707823014,1.378603735,420.1279945,36.0320015,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.57148541,0.712447831,1.377234423,424.1279945,40.0320015,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.6711863,0.720449376,1.374429242,428.1279945,44.0320015,00003-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.67198391,0.654020011,1.343698025,428.1599945,0.032000002,00005-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.77168481,0.738731563,1.347528668,432.1599946,4.032000065,00005-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.8713857,0.71835236,1.36336201,436.1599941,8.031999588,00005-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
10.97108659,0.712514,1.370487982,440.1599941,12.03199959,00005-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
11.07078749,0.711504204,1.372379264,444.1599941,16.03199959,00005-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
