epoch,G_loss,D_loss,kimg_acu,kimg,run_id,,,,,,,,
7.17966093,0.704211744,1.380168443,288.0479965,68.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
7.279361828,0.70265781,1.380519719,292.0479965,72.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
7.379062725,0.703647968,1.379944091,296.0479965,76.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
7.478763622,0.705929486,1.379085436,300.0479965,80.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
7.578464519,0.704124091,1.379599042,304.0479965,84.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
7.678165417,0.703281347,1.379272435,308.0479965,88.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
7.777866314,0.708115648,1.378107383,312.0479965,92.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
7.877567211,0.703613545,1.377967529,316.0479965,96.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
7.977268109,0.703027643,1.3793283,320.0479965,100.0159988,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.076969006,0.705435405,1.378536823,324.0479965,104.0159988,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.176669903,0.705938571,1.377944715,328.0479965,108.0159988,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.276370801,0.705875108,1.377662673,332.0479965,112.0159988,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.376071698,0.705342358,1.377644412,336.0479965,116.0159988,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.475772595,0.705428383,1.377657905,340.0479965,120.0159988,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.575473493,0.707385318,1.375757909,344.0479965,124.0159988,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.67517458,0.707777606,1.37610252,348.0480042,128.0160065,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.774875477,0.707628618,1.372969871,352.0480042,132.0160065,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.874576375,0.707647296,1.374694154,356.0480042,136.0160065,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.974277272,0.711017859,1.372037464,360.0480042,140.0160065,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
8.974676076,0.667163789,1.368768692,360.0640042,0.016000001,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.074376968,0.711580679,1.370558692,364.0640039,4.015999794,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.174077865,0.715153493,1.367603729,368.0640039,8.015999794,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.273778762,0.71869084,1.362413366,372.0640039,12.01599979,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.373479683,0.714432368,1.365951952,376.0640049,16.01600075,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.473180581,0.720390029,1.363564553,380.0640049,20.01600075,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.572881478,0.725080685,1.357264744,384.0640049,24.01600075,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.672582375,0.72825877,1.355563767,388.0640049,28.01600075,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.772283225,0.713758071,1.362889967,392.064003,32.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.871984122,0.722304388,1.35890984,396.064003,36.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
9.97168502,0.730889836,1.354628224,400.064003,40.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.07138592,0.717121676,1.36283525,404.064003,44.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.17108681,0.724868738,1.354696201,408.064003,48.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.27078771,0.722658988,1.355209836,412.064003,52.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.37048861,0.728794794,1.347771685,416.064003,56.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.47018951,0.729131664,1.349355794,420.064003,60.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.5698904,0.739020281,1.341453677,424.064003,64.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.6695913,0.729428836,1.344587335,428.064003,68.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.7692922,0.733855992,1.341159016,432.064003,72.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.8689931,0.739257727,1.333163571,436.064003,76.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
10.96869399,0.749926516,1.326019469,440.064003,80.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.06839489,0.735716996,1.327676254,444.064003,84.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.16809579,0.808876572,1.270648137,448.064003,88.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.26779668,0.734270737,1.325020025,452.064003,92.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.36749758,0.811368207,1.257862252,456.064003,96.01599884,00003-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.36789639,0.841074347,1.336817026,456.080003,0.016000001,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.46759728,0.789660004,1.263178893,460.0800028,4.015999794,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.56729818,0.763038677,1.301773222,464.0800028,8.015999794,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.66699907,0.787428674,1.28346874,468.0800028,12.01599979,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.76669999,0.752653304,1.308747838,472.0800037,16.01600075,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.86640089,0.768844909,1.298130056,476.0800037,20.01600075,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
11.96610179,0.79397841,1.28643212,480.0800037,24.01600075,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.06580269,0.745013342,1.315234606,484.0800037,28.01600075,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.16550354,0.770434184,1.302722115,488.0800018,32.01599884,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.26520443,0.740611518,1.322069788,492.0800018,36.01599884,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.36490533,0.762795003,1.306643411,496.0800018,40.01599884,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.46460623,0.760128424,1.307765831,500.0800018,44.01599884,00004-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.46500503,0.66917628,1.331850529,500.0960018,0.016000001,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
